Location,Country,Date,PM2_5_mean,AQI_mean,PM10_mean,WHO_Exceed_pct,Pollution_Index,Readings
Bengaluru,India,2023-02-03,64.154,122.538,123.0,1.0,0.195,117
Bengaluru,India,2023-02-09,44.0,103.0,80.0,1.0,0.17,49
Bengaluru,India,2023-02-14,47.0,102.0,83.0,1.0,0.168,23
Bengaluru,India,2023-02-15,51.0,103.0,99.0,1.0,0.167,50
Bengaluru,India,2023-02-19,20.0,41.0,36.0,1.0,0.049,48
Bengaluru,India,2023-02-21,27.0,56.0,53.0,1.0,0.124,120
Bengaluru,India,2023-02-23,43.0,97.0,78.0,1.0,0.146,119
Bengaluru,India,2023-02-24,32.0,68.0,61.0,1.0,0.104,91
Bengaluru,India,2023-02-25,29.0,73.0,64.0,1.0,0.106,136
Bengaluru,India,2023-02-26,24.0,48.0,47.0,1.0,0.093,90
Bengaluru,India,2023-02-27,24.0,47.0,46.0,1.0,0.08,95
Bengaluru,India,2023-02-28,19.0,37.0,37.0,1.0,0.079,136
Bengaluru,India,2023-03-01,35.0,70.0,61.0,1.0,0.099,91
Bengaluru,India,2023-03-04,34.0,71.0,63.0,1.0,0.096,117
Bengaluru,India,2023-03-06,36.0,68.0,59.0,1.0,0.1,121
Bengaluru,India,2023-03-08,49.0,106.0,90.0,1.0,0.165,103
Bengaluru,India,2023-03-09,26.0,51.0,45.0,1.0,0.09,100
Bengaluru,India,2023-03-13,27.0,53.0,49.0,1.0,0.087,67
Bengaluru,India,2023-03-17,4.0,15.0,7.0,0.0,0.041,85
Bengaluru,India,2023-03-21,22.0,47.0,47.0,1.0,0.067,81
Bengaluru,India,2023-03-25,13.0,32.0,32.0,0.0,0.072,87
"Biratnagar, Nepal",Nepal,2023-02-02,67.192,156.901,96.443,1.0,0.194,735
"Biratnagar, Nepal",Nepal,2023-02-03,55.34,147.68,79.389,1.0,0.17,718
"Biratnagar, Nepal",Nepal,2023-02-09,112.46,171.0,163.45,1.0,0.259,16
"Biratnagar, Nepal",Nepal,2023-02-13,30.27,91.0,44.12,1.0,0.101,284
"Biratnagar, Nepal",Nepal,2023-02-14,33.18,101.0,48.66,1.0,0.118,234
"Biratnagar, Nepal",Nepal,2023-03-16,65.89,154.0,95.23,1.0,0.196,184
"Dimapur, Nagaland",India,2023-02-02,53.0,103.0,84.0,1.0,0.127,228
"Dimapur, Nagaland",India,2023-02-10,31.0,63.0,52.0,1.0,0.075,122
"ITO, Delhi",India,2023-02-04,174.0,281.0,132.0,1.0,0.458,267
"ITO, Delhi",India,2023-02-07,337.0,429.5,198.0,1.0,0.633,181
"ITO, Delhi",India,2023-02-15,287.0,179.0,180.0,1.0,0.472,123
"ITO, Delhi",India,2023-02-16,372.08,279.447,338.161,1.0,0.68,866
"ITO, Delhi",India,2023-02-17,348.0,372.0,199.0,1.0,0.633,162
"ITO, Delhi",India,2023-02-20,257.0,363.0,139.0,1.0,0.597,371
"ITO, Delhi",India,2023-02-22,500.0,429.5,399.0,1.0,0.856,198
"Knowledge park, Greater Noida",India,2023-02-07,347.0,237.0,233.0,1.0,0.53,1
"Knowledge park, Greater Noida",India,2023-02-08,34.0,133.0,199.0,1.0,0.234,131
"Knowledge park, Greater Noida",India,2023-02-13,76.0,106.5,106.5,1.0,0.163,6
"Knowledge park, Greater Noida",India,2023-02-14,60.0,127.0,144.0,1.0,0.23,4
"Knowledge park, Greater Noida",India,2023-02-15,120.143,135.429,158.571,1.0,0.288,7
"Knowledge park, Greater Noida",India,2023-02-16,310.273,223.091,241.273,1.0,0.52,11
"Knowledge park, Greater Noida",India,2023-02-17,342.0,347.0,294.0,1.0,0.682,4
"Knowledge park, Greater Noida",India,2023-02-18,349.073,325.634,264.927,1.0,0.636,246
"Knowledge park, Greater Noida",India,2023-02-19,303.0,357.0,183.0,1.0,0.55,58
"Knowledge park, Greater Noida",India,2023-02-20,356.0,331.0,248.0,1.0,0.611,80
"Knowledge park, Greater Noida",India,2023-02-21,190.0,189.0,132.0,1.0,0.342,4
"Knowledge park, Greater Noida",India,2023-02-22,350.0,232.0,281.0,1.0,0.56,6
"Knowledge park, Greater Noida",India,2023-02-24,268.0,141.0,180.0,1.0,0.387,112
"Knowledge park, Greater Noida",India,2023-02-25,158.0,203.0,188.0,1.0,0.412,3
"Knowledge park, Greater Noida",India,2023-02-27,329.455,298.875,300.136,1.0,0.631,88
"Knowledge park, Greater Noida",India,2023-03-01,35.0,199.0,345.0,1.0,0.332,128
"Knowledge park, Greater Noida",India,2023-03-02,301.0,223.0,232.0,1.0,0.531,194
"Knowledge park, Greater Noida",India,2023-03-06,100.0,104.0,185.0,1.0,0.295,158
Mumbai,India,2023-02-02,115.8,182.0,188.5,1.0,0.28,101
Mumbai,India,2023-02-03,132.0,162.0,185.0,1.0,0.273,89
Mumbai,India,2023-02-10,180.0,160.0,181.0,1.0,0.402,107
Mumbai,India,2023-02-11,66.2,154.0,93.75,1.0,0.277,112
Mumbai,India,2023-02-14,78.8,160.0,169.0,1.0,0.244,75
Mumbai,India,2023-02-15,334.0,143.0,276.0,1.0,0.534,89
Mumbai,India,2023-02-16,63.0,128.0,92.0,1.0,0.25,7
Mumbai,India,2023-02-17,68.75,142.125,116.825,1.0,0.249,160
Mumbai,India,2023-02-18,277.0,151.0,166.0,1.0,0.409,65
Mumbai,India,2023-02-19,308.0,160.0,187.0,1.0,0.456,71
Mumbai,India,2023-02-23,319.0,130.0,201.0,1.0,0.502,61
Mumbai,India,2023-02-24,167.0,202.0,194.0,1.0,0.422,80
Mumbai,India,2023-02-25,343.0,206.0,358.0,1.0,0.618,76
Mumbai,India,2023-03-02,305.0,156.0,193.0,1.0,0.467,69
Mumbai,India,2023-03-05,279.0,284.0,168.0,1.0,0.513,108
Mumbai,India,2023-03-08,287.0,124.0,177.0,1.0,0.42,90
Mumbai,India,2023-03-10,72.0,141.0,108.0,1.0,0.238,92
Mumbai,India,2023-03-12,217.0,156.0,122.0,1.0,0.354,72
Mumbai,India,2023-03-13,114.0,197.0,108.0,1.0,0.302,44
Mumbai,India,2023-03-14,90.0,138.0,120.0,1.0,0.257,83
Mumbai,India,2023-03-15,193.0,162.0,399.0,1.0,0.478,80
Mumbai,India,2023-03-16,231.0,159.0,147.0,1.0,0.36,66
Mumbai,India,2023-03-18,143.0,114.0,114.0,1.0,0.298,67
Mumbai,India,2023-03-21,27.0,92.0,72.0,1.0,0.15,87
Mumbai,India,2023-03-22,26.05,47.918,50.346,1.0,0.09,159
Mumbai,India,2023-03-23,14.0,47.0,41.0,0.0,0.065,93
"New Ind Town, Faridabad",India,2022-10-02,185.0,230.0,199.0,1.0,0.378,641
Tamil Nadu,India,2023-02-02,51.0,107.0,91.0,1.0,0.146,27
Tamil Nadu,India,2023-02-03,91.26,158.67,173.79,1.0,0.245,100
Tamil Nadu,India,2023-02-09,39.0,78.0,69.0,1.0,0.146,72
Tamil Nadu,India,2023-02-10,55.0,105.0,86.0,1.0,0.161,45
Tamil Nadu,India,2023-02-20,27.294,40.882,35.765,1.0,0.129,153
Tamil Nadu,India,2023-02-21,29.0,29.0,21.0,1.0,0.111,119
Tamil Nadu,India,2023-02-22,18.0,36.0,28.0,1.0,0.103,160
Tamil Nadu,India,2023-02-23,21.0,43.0,36.0,1.0,0.086,107
Tamil Nadu,India,2023-02-27,22.0,43.0,40.0,1.0,0.097,70
Tamil Nadu,India,2023-02-28,37.0,73.0,53.0,1.0,0.127,43
Tamil Nadu,India,2023-03-01,60.0,111.0,98.0,1.0,0.184,63
Tamil Nadu,India,2023-03-02,69.0,119.0,106.0,1.0,0.219,97
Tamil Nadu,India,2023-03-03,70.0,121.0,113.0,1.0,0.218,108
Tamil Nadu,India,2023-03-06,111.0,161.0,169.0,1.0,0.302,104
Tamil Nadu,India,2023-03-08,71.0,121.0,111.0,1.0,0.216,63
Tamil Nadu,India,2023-03-09,84.0,134.0,121.0,1.0,0.243,92
Tamil Nadu,India,2023-03-11,102.0,152.0,162.0,1.0,0.301,59
Tamil Nadu,India,2023-03-21,13.0,27.0,27.0,0.0,0.122,58
